n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
498,33,85.3,0.0782,0.5033,0.9,0.31,0.0247,0.5538,-0.1025,Mildly improving,3,-0.1377,0.2677,0.1084,0.0,anxious,0,0,0,0,0,0.9884,0.012,0.4998,3,5,1,10,2,0,0,3,relationships_kqkj9c,pos,joy
88,5,89.0,0.0,0.7,0.8333,0.0,0.0079,0.3333,0.0,Flat / Unresolved,0,0.0,0.0,0.1364,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,relationships_l4wa08,neu,none
895,48,81.8,0.0796,0.4952,0.6854,0.1654,0.0399,0.3251,-0.0389,Flat / Unresolved,3,-0.085,0.1392,0.0939,0.0602,anxious,0,0,0,0,0,0.9851,0.0054,0.65,1,2,1,5,4,0,0,1,relationships_a72pyo,pos,trust
161,9,77.8,0.0041,0.4328,0.7,0.2454,0.0444,0.3333,-0.1101,Mildly improving,1,-0.0046,0.0,0.0559,0.0,avoidant,0,0,0,0,0,0.6486,-0.0062,0.62,0,2,1,0,1,0,0,0,relationships_lxp1ee,pos,sadness
1123,43,68.6,0.1182,0.4334,0.8191,0.276,0.0208,0.3104,-0.3006,Redemptive / Comedic (recovery arc),38,-0.2492,0.2763,0.0739,0.0814,avoidant,1,0,1,0,0,0.9895,0.0008,0.5045,3,4,7,4,8,0,0,5,relationships_beku6e,pos,joy
140,10,78.4,0.0242,0.491,0.7143,0.0965,0.0296,0.2778,-0.0541,Mildly improving,2,-0.1103,0.0,0.0429,0.0,anxious,0,0,0,0,0,0.3818,0.0,0.0,3,0,0,0,0,0,0,0,relationships_abxvly,pos,none
410,12,67.7,0.1187,0.5072,0.7059,0.2362,0.024,0.3079,-0.1417,Mildly improving,0,-0.1187,0.124,0.0439,-0.0,anxious,0,0,0,0,0,0.959,0.0024,0.9992,0,3,0,4,1,0,1,1,relationships_f9ue25,pos,sadness
553,39,91.3,-0.0112,0.472,0.5781,0.1393,0.0327,0.3127,-0.019,Flat / Unresolved,7,-0.0646,0.1436,0.0759,0.0,anxious,0,0,0,0,0,0.9524,0.0018,0.72,0,4,1,3,1,0,0,1,relationships_cxgnob,pos,sadness
114,8,84.8,0.1208,0.496,0.75,0.2246,0.0769,0.4727,-0.1806,Redemptive / Comedic (recovery arc),2,-0.1611,0.0,0.1053,-0.0,anxious,0,0,0,0,0,0.926,0.0085,0.85,0,0,0,2,1,0,0,1,relationships_a1ta8x,neu,joy
514,26,76.7,-0.0035,0.4555,0.717,0.3066,0.0146,0.5564,-0.2491,Redemptive / Comedic (recovery arc),2,-0.2447,0.2594,0.1518,0.0,anxious,0,0,0,0,0,-0.7964,-0.0056,-0.19,5,3,3,5,4,0,0,0,relationships_azzp25,neg,fear
