n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
11,1,88.0,0.0,0.7,0.75,0.0,0.0,0.3333,,NA,,,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00000,neu,none
20,1,72.3,0.4588,0.8376,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,ge_tra_00001,neu,none
16,2,71.8,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.4404,0.0588,0.9998,0,0,0,0,0,0,0,0,ge_tra_00005,pos,none
24,3,100,0.0,0.7,0.25,0.0,0.0,0.1111,,NA,,,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00006,neu,none
18,2,100,0.0,0.6818,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,avoidant,0,0,0,0,0,0.4404,0.0556,0.9998,0,0,0,0,0,0,0,0,ge_tra_00007,pos,none
11,2,78.2,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00010,neu,none
15,3,72.0,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00012,neu,none
22,2,99.5,0.064,0.7192,-0.5,0.128,0.0,0.3333,,NA,,,0.0,0.2727,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,ge_tra_00013,neu,none
12,1,81.9,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00015,neu,none
12,1,96.0,0.3612,0.8084,0.0,0.0,0.0,0.0,,NA,,,0.0,0.25,0.0,anxious,0,0,0,0,0,0.6249,0.0833,0.9999,0,0,0,1,0,0,0,0,ge_tra_00019,pos,none
16,1,58.4,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0833,0.0,-0.0,anxious,0,0,0,0,0,-0.0258,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00020,neu,none
11,1,100,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.5455,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00021,neu,none
11,2,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00024,neu,none
13,1,96.0,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.2308,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00029,neu,none
19,3,71.3,0.0,0.7,0.0,0.0,0.1111,0.0,,NA,,,0.0833,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00030,neu,none
17,1,95.0,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00031,neu,none
19,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00036,neu,none
23,3,99.7,-0.1646,0.6506,0.6667,0.247,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,ge_tra_00038,neu,none
14,1,65.7,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00042,neu,none
10,3,68.1,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0833,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00044,neu,none
11,2,100,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00049,neu,none
19,2,90.3,0.0,0.7,0.0,0.0,0.0,0.1149,,NA,,,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,ge_tra_00051,neu,none
