n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
143,17,100,0.0248,0.4708,0.1,0.0978,0.0096,0.1102,-0.2288,Redemptive / Comedic (recovery arc),8,-0.1322,0.1667,0.042,0.0,anxious,0,0,0,0,0,0.9422,0.0274,0.9997,1,0,0,2,0,1,0,0,dd_tr_0000_00,neu,neu
47,10,100,-0.0361,0.4392,-0.125,0.0803,0.0746,0.1061,0.0,Flat / Unresolved,8,-0.0452,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,dd_tr_0001_00,neu,neu
34,5,88.0,0.0,0.7,-0.25,0.0,0.025,0.1111,0.0,Flat / Unresolved,0,0.0,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,dd_tr_0002_00,neu,neu
29,4,100,-0.1058,0.6683,0.5,0.5438,0.0833,0.2,-0.2617,Redemptive / Comedic (recovery arc),1,0.141,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,dd_tr_0003_00,neu,neu
97,19,100,0.019,0.7057,0.1765,0.0401,0.0139,0.0256,0.0,Flat / Unresolved,3,-0.0226,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.7096,0.0,0.9995,0,0,0,1,0,0,0,0,dd_tr_0004_00,neu,neu
224,26,85.9,0.0592,0.4876,-0.1724,0.1232,0.0117,0.076,0.0569,Mildly declining,22,0.07,0.1488,0.0536,0.0,anxious,0,0,0,0,0,0.9042,0.0132,0.88,0,0,0,0,2,0,0,1,dd_tr_0005_00,neu,neu
44,8,100,0.0,0.7,0.0,0.0,0.0143,0.0,0.0,Flat / Unresolved,0,0.0,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,dd_tr_0006_00,neu,neu
132,16,97.8,0.0926,0.4912,-0.1818,0.1253,0.0208,0.0833,0.2242,Tragic (Freytag: falling action dominates),2,-0.1059,0.0833,0.0227,0.0,anxious,0,0,0,0,0,0.969,0.0379,0.9997,0,0,0,2,1,0,0,0,dd_tr_0007_00,neu,neu
224,22,88.9,0.0222,0.4385,0.32,0.0405,0.0074,0.1905,-0.0699,Mildly improving,13,-0.0544,0.1577,0.067,0.0,avoidant,0,0,0,0,0,0.7003,0.0085,0.85,0,0,0,1,1,0,0,1,dd_tr_0008_00,neu,neu
69,9,93.6,-0.0728,0.41,0.1429,0.1638,0.0139,0.4177,-0.2184,Redemptive / Comedic (recovery arc),3,-0.2184,0.0,0.0,0.0,avoidant,0,0,0,0,0,0.1779,0.0128,0.3332,1,0,0,0,0,1,0,0,dd_tr_0009_00,neu,neu
