metric,label,mean,sd,median,min,max,n
sentiment,Sentiment (PLEF-VADER),0.0042,0.1759,0.0,-0.879,0.8847,30000
gase,GASE (composite health),0.6535,0.1105,0.7,0.0679,0.9587,30000
pti,PTI (pronoun power),0.5016,0.3749,0.6667,-0.8333,0.9091,30000
teg,TEG (emotional volatility),0.1139,0.1953,0.0,0.0,1.3808,30000
rci,RCI (relational coherence),0.0099,0.0355,0.0,0.0,0.5,30000
pai,PAI (power asymmetry),0.2977,0.1121,0.3333,0.0,0.6783,30000
nava,NAVA (narrative arc),0.0034,0.205,0.0,-1.0708,0.8664,2412
lewi_drop,LEWI drop magnitude,0.003,0.177,0.0,-0.8162,0.7573,2412
cd_index,CD-index (distortions),0.0214,0.0434,0.0,0.0,0.3333,30000
vads,VADS (disclosure depth),0.0933,0.1721,0.0,0.0,1.0,30000
ties,TIES (inconsistency),0.0,0.0039,0.0,0.0,0.4591,30000
vader_score,VADER baseline,0.0801,0.3442,0.0,-0.9136,0.981,30000
nrc_score,NRC baseline,0.0043,0.0345,0.0,-0.2222,0.25,30000
liwc_score,LIWC baseline,0.1484,0.4753,0.0,-1.0,1.0,30000
n_words,Word count,21.5494,10.4274,19.0,3,113,30000
