n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
17,1,80.1,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_1,neu,neutral
7,1,100,0.0,0.7,-0.6667,0.0,0.0,0.3333,,NA,,,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_2,neu,neutral
6,2,100,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,1.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_3,neu,neutral
10,1,95.2,0.0,0.7,-0.5,0.0,0.0,0.3333,,NA,,,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_4,neu,neutral
4,2,99.1,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_5,pos,surprise
16,1,84.8,0.0,0.7,-0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_6,neu,neutral
17,1,85.1,0.0,0.7,-0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_8,neu,neutral
5,1,83.3,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_10,neu,neutral
7,1,100,0.0,0.6727,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_11,neg,fear
28,1,75.7,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,meld_train_12,neu,neutral
