metric,label,mean,sd,median,min,max,n
sentiment,Sentiment (PLEF-VADER),0.0036,0.1334,0.0,-0.9609,0.7906,9881
gase,GASE (composite health),0.6803,0.0835,0.7,0.0729,0.9155,9881
pti,PTI (pronoun power),0.0622,0.4031,0.0,-0.875,0.8889,9881
teg,TEG (emotional volatility),0.0187,0.0852,0.0,0.0,1.1976,9881
rci,RCI (relational coherence),0.0104,0.0771,0.0,0.0,1.0,9881
pai,PAI (power asymmetry),0.1917,0.1677,0.3333,0.0,0.7802,9881
nava,NAVA (narrative arc),0.0137,0.138,0.0,-0.6124,1.1976,333
lewi_drop,LEWI drop magnitude,0.0079,0.0871,0.0,-0.6124,0.7984,333
cd_index,CD-index (distortions),0.0126,0.0332,0.0,0.0,0.25,9881
vads,VADS (disclosure depth),0.0373,0.1335,0.0,0.0,1.0,9881
ties,TIES (inconsistency),0.0,0.0,0.0,0.0,0.0,9881
vader_score,VADER baseline,0.0543,0.1976,0.0,-0.9545,0.926,9881
nrc_score,NRC baseline,0.0065,0.0415,0.0,-1.0,1.0,9881
liwc_score,LIWC baseline,0.0745,0.2988,0.0,-1.0,1.0,9881
n_words,Word count,10.9632,6.0861,9,1,69,9881
