n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_626437371999977472,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_629712146016935936,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_636047266248265728,neg,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_636112894086782976,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_637879757124669440,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_638624782955773952,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_641496308705046528,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_665676995036995584,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_666696532993818624,neu,none
2,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_681451525240127488,neg,none
18,4,80.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,Flat / Unresolved,0,0.0,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_260097528899452929,neu,none
14,1,83.9,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_263791921753882624,neu,none
19,4,77.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,Flat / Unresolved,0,0.0,0.1667,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_264194578381410304,neg,none
20,1,46.9,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_264041328420204544,neu,none
23,3,92.4,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.1304,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_263816256640126976,neu,none
16,2,93.0,0.0,0.7,-0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_263722278712393728,pos,none
11,2,70.5,0.2712,0.5313,-0.5,0.5423,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.7845,0.1538,0.9999,0,0,0,0,1,0,0,0,se_262936443171778560,pos,none
16,2,82.4,0.0,0.7,-0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_260486470828171265,neu,none
19,1,98.5,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.4404,0.0455,0.9998,0,0,0,0,0,0,0,0,se_262968617233162240,pos,none
17,3,61.7,0.0,0.7,0.0,0.0,0.1111,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_263790847424880641,pos,none
22,2,68.8,0.0,0.7,0.25,0.0,0.0,0.3111,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,se_264255236435243008,neg,none
22,1,53.8,0.128,0.7384,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,se_264221473558917120,neu,none
10,1,86.7,0.3612,0.5584,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.4767,0.1,0.9999,0,0,0,0,0,0,0,1,se_264091690632105984,neu,none
