metric,label,mean,sd,median,min,max,n
sentiment,Sentiment (PLEF-VADER),0.0322,0.1543,0.0,-0.8858,0.8402,10000
gase,GASE (composite health),0.6757,0.0865,0.7,0.1124,0.9389,10000
pti,PTI (pronoun power),0.0989,0.3405,0.0,-0.8,0.8571,10000
teg,TEG (emotional volatility),0.0427,0.1282,0.0,0.0,1.1909,10000
rci,RCI (relational coherence),0.0079,0.0327,0.0,0.0,0.5714,10000
pai,PAI (power asymmetry),0.1398,0.1636,0.0,0.0,0.6364,10000
nava,NAVA (narrative arc),-0.0355,0.1818,0.0,-0.82,0.4939,342
lewi_drop,LEWI drop magnitude,-0.0079,0.1373,0.0,-0.6553,0.5006,342
cd_index,CD-index (distortions),0.0092,0.0288,0.0,0.0,0.25,10000
vads,VADS (disclosure depth),0.0164,0.0645,0.0,0.0,0.8333,10000
ties,TIES (inconsistency),0.0,0.0,0.0,0.0,0.0,10000
vader_score,VADER baseline,0.101,0.257,0.0,-0.8481,0.9545,10000
nrc_score,NRC baseline,0.0061,0.0227,0.0,-0.1818,0.2222,10000
liwc_score,LIWC baseline,0.1238,0.3635,0.0,-0.9999,1.0,10000
n_words,Word count,19.0566,4.9117,20.0,2,32,10000
